part,scenario,algo,warmstart,mean_profit,ci95,n_rep,delta_rule,delta_best,horizon,note
A,supply_only_pdf,ddqn,Y,2575155.4299999997,9451.022138358534,10,0.0,432.65499999932945,30+365,A-chain only
A,supply_only_pdf,dueling,N,2551892.7,9429.931040956326,10,-23262.729999999516,-22830.075000000186,30+365,A-chain only
A,supply_only_pdf,dueling,Y,2574522.1075,10455.669845438815,10,-633.3224999997765,-200.66750000044703,30+365,A-chain only
A,supply_only_pdf,d3qn,N,2553046.5599999996,10972.446253800368,10,-22108.87000000011,-21676.215000000782,30+365,A-chain only
A,supply_only_pdf,d3qn,Y,2574522.1075,10455.669845438815,10,-633.3224999997765,-200.66750000044703,30+365,A-chain only
A,supply_only_pdf,ppo,N,2574722.7750000004,10093.280894949947,10,-432.65499999932945,0.0,30+365,A-chain only
A,supply_only_pdf,ppo,Y,2574680.107500001,10023.441492551074,10,-475.32249999884516,-42.66749999951571,30+365,A-chain only
A,supply_only_harsh_mild,"fixed_0_(s,S)",,2524830.0825000005,31082.958084004364,10,-19823.512499999255,10591.652500000782,30+365,A-chain only
A,supply_only_harsh_mild,best_fixed_13,,2514238.4299999997,19326.061938676863,10,-30415.165000000037,0.0,30+365,A-chain only
A,supply_only_harsh_mild,rule_based,,2544653.5949999997,23450.01700905121,10,0.0,30415.165000000037,30+365,A-chain only
A,supply_only_harsh_mild,dqn,N,2517125.8424999993,25857.341980628727,10,-27527.75250000041,2887.4124999996275,30+365,A-chain only
A,supply_only_harsh_mild,dqn,Y,2544653.5949999997,23450.01700905121,10,0.0,30415.165000000037,30+365,A-chain only
A,supply_only_harsh_mild,ddqn,N,2518145.2575,23657.16168992618,10,-26508.337499999907,3906.8275000001304,30+365,A-chain only
A,supply_only_harsh_mild,ddqn,Y,2544653.5949999997,23450.01700905121,10,0.0,30415.165000000037,30+365,A-chain only
A,supply_only_harsh_mild,dueling,N,2518271.1025,25202.918405117638,10,-26382.492499999702,4032.6725000003353,30+365,A-chain only
A,supply_only_harsh_mild,dueling,Y,2535145.7199999997,26612.718170684944,10,-9507.875,20907.290000000037,30+365,A-chain only
A,supply_only_harsh_mild,d3qn,N,2517207.2675,23681.97919750545,10,-27446.327499999665,2968.8375000003725,30+365,A-chain only
A,supply_only_harsh_mild,d3qn,Y,2535121.3050000006,23716.131456778436,10,-9532.289999999106,20882.87500000093,30+365,A-chain only
A,supply_only_harsh_mild,ppo,N,2524512.5150000006,32468.924174326254,10,-20141.079999999143,10274.085000000894,30+365,A-chain only
A,supply_only_harsh_mild,ppo,Y,2544653.5949999997,23450.01700905121,10,0.0,30415.165000000037,30+365,A-chain only
A,supply_only_harsh_strong,"fixed_0_(s,S)",,2189087.52,113215.54597491633,10,-100101.01999999909,-103272.4375,30+365,A-chain only
A,supply_only_harsh_strong,best_fixed_12,,2292359.9575,95237.71027905704,10,3171.4175000009127,0.0,30+365,A-chain only
